action_id,order_id,customer_id,action_type,action_at,channel
ACT-00001,O01044,C0249,ETA_VIEWED,2026-08-05T22:11:00,mobile_app
ACT-00002,O01334,C0692,ETA_VIEWED,2026-08-01T17:48:00,mobile_app
ACT-00003,O01334,C0692,ETA_VIEWED,2026-08-01T17:54:00,mobile_app
ACT-00004,O01334,C0692,ETA_VIEWED,2026-08-01T18:01:00,mobile_app
ACT-00005,O01171,C0018,ETA_VIEWED,2026-08-03T22:30:00,mobile_app
ACT-00006,O01171,C0018,ETA_VIEWED,2026-08-03T22:37:00,mobile_app
ACT-00007,O01171,C0018,ETA_VIEWED,2026-08-03T22:16:00,mobile_app
ACT-00008,O00955,C0703,ETA_VIEWED,2026-08-09T21:45:00,mobile_app
ACT-00009,O00955,C0703,ETA_VIEWED,2026-08-09T21:46:00,mobile_app
ACT-00010,O00955,C0703,ETA_VIEWED,2026-08-09T21:50:00,mobile_app
ACT-00011,O00687,C0150,ETA_VIEWED,2026-08-20T13:34:00,mobile_app
ACT-00012,O00483,C0670,ETA_VIEWED,2026-08-10T14:29:00,mobile_app
ACT-00013,O00483,C0670,ETA_VIEWED,2026-08-10T14:48:00,mobile_app
ACT-00014,O01515,C0577,ETA_VIEWED,2026-08-17T14:59:00,mobile_app
ACT-00015,O01411,C0168,ETA_VIEWED,2026-08-11T12:11:00,mobile_app
ACT-00016,O01411,C0168,ETA_VIEWED,2026-08-11T12:27:00,mobile_app
ACT-00017,O00604,C0250,ETA_VIEWED,2026-08-05T17:30:00,mobile_app
ACT-00018,O00604,C0250,ETA_VIEWED,2026-08-05T17:42:00,mobile_app
ACT-00019,O00604,C0250,ETA_VIEWED,2026-08-05T17:36:00,mobile_app
ACT-00020,O01152,C0018,ETA_VIEWED,2026-08-14T14:37:00,mobile_app
ACT-00021,O01152,C0018,ETA_VIEWED,2026-08-14T14:35:00,mobile_app
ACT-00022,O00120,C0501,ETA_VIEWED,2026-08-13T18:36:00,mobile_app
ACT-00023,O00245,C0516,ETA_VIEWED,2026-08-09T14:20:00,mobile_app
ACT-00024,O00245,C0516,ETA_VIEWED,2026-08-09T14:28:00,mobile_app
ACT-00025,O01556,C0707,ETA_VIEWED,2026-08-20T16:16:00,mobile_app
ACT-00026,O01556,C0707,ETA_VIEWED,2026-08-20T16:15:00,mobile_app
ACT-00027,O01556,C0707,SUPPORT_OPENED,2026-08-20T17:33:48,mobile_app
ACT-00028,O00238,C0138,ETA_VIEWED,2026-08-27T16:23:00,mobile_app
ACT-00029,O01105,C0526,ETA_VIEWED,2026-08-22T16:13:00,mobile_app
ACT-00030,O01105,C0526,ETA_VIEWED,2026-08-22T16:20:00,mobile_app
ACT-00031,O01266,C0426,ETA_VIEWED,2026-08-26T18:15:00,mobile_app
ACT-00032,O01266,C0426,ETA_VIEWED,2026-08-26T18:10:00,mobile_app
ACT-00033,O01266,C0426,ETA_VIEWED,2026-08-26T18:24:00,mobile_app
ACT-00034,O01319,C0239,ETA_VIEWED,2026-08-09T22:10:00,mobile_app
ACT-00035,O01319,C0239,ETA_VIEWED,2026-08-09T22:20:00,mobile_app
ACT-00036,O00278,C0183,ETA_VIEWED,2026-08-24T15:32:00,mobile_app
ACT-00037,O00278,C0183,ETA_VIEWED,2026-08-24T15:43:00,mobile_app
ACT-00038,O01578,C0774,ETA_VIEWED,2026-08-13T20:58:00,mobile_app
ACT-00039,O01578,C0774,ETA_VIEWED,2026-08-13T21:03:00,mobile_app
ACT-00040,O01578,C0774,ETA_VIEWED,2026-08-13T21:01:00,mobile_app
ACT-00041,O01578,C0774,SUPPORT_OPENED,2026-08-13T22:12:36,mobile_app
ACT-00042,O00938,C0321,ETA_VIEWED,2026-08-11T18:13:00,mobile_app
ACT-00043,O00938,C0321,ETA_VIEWED,2026-08-11T18:02:00,mobile_app
ACT-00044,O00528,C0367,ETA_VIEWED,2026-08-16T23:27:00,mobile_app
ACT-00045,O00528,C0367,ETA_VIEWED,2026-08-16T23:38:00,mobile_app
ACT-00046,O00528,C0367,ETA_VIEWED,2026-08-16T23:34:00,mobile_app
ACT-00047,O01109,C0299,ETA_VIEWED,2026-08-03T18:34:00,mobile_app
ACT-00048,O01109,C0299,ETA_VIEWED,2026-08-03T18:35:00,mobile_app
ACT-00049,O00652,C0313,ETA_VIEWED,2026-08-17T19:34:00,mobile_app
ACT-00050,O00968,C0799,ETA_VIEWED,2026-08-11T21:03:00,mobile_app
ACT-00051,O00968,C0799,ETA_VIEWED,2026-08-11T21:04:00,mobile_app
ACT-00052,O00968,C0799,ETA_VIEWED,2026-08-11T21:18:00,mobile_app
ACT-00053,O01090,C0338,ETA_VIEWED,2026-08-03T18:09:00,mobile_app
ACT-00054,O01090,C0338,ETA_VIEWED,2026-08-03T18:01:00,mobile_app
ACT-00055,O01090,C0338,ETA_VIEWED,2026-08-03T18:17:00,mobile_app
ACT-00056,O01245,C0637,ETA_VIEWED,2026-08-05T20:47:00,mobile_app
ACT-00057,O01245,C0637,SUPPORT_OPENED,2026-08-05T21:29:39.602028,mobile_app
ACT-00058,O00234,C0669,ETA_VIEWED,2026-08-03T15:21:00,mobile_app
ACT-00059,O00234,C0669,ETA_VIEWED,2026-08-03T15:27:00,mobile_app
ACT-00060,O00234,C0669,ETA_VIEWED,2026-08-03T15:28:00,mobile_app
ACT-00061,O01260,C0654,ETA_VIEWED,2026-08-11T14:45:00,mobile_app
ACT-00062,O00477,C0117,ETA_VIEWED,2026-08-21T19:51:00,mobile_app
ACT-00063,O00477,C0117,ETA_VIEWED,2026-08-21T20:04:00,mobile_app
ACT-00064,O00477,C0117,SUPPORT_OPENED,2026-08-21T21:14:48,mobile_app
ACT-00065,O00249,C0135,ETA_VIEWED,2026-08-15T22:17:00,mobile_app
ACT-00066,O00249,C0135,ETA_VIEWED,2026-08-15T22:14:00,mobile_app
ACT-00067,O00249,C0135,ETA_VIEWED,2026-08-15T22:05:00,mobile_app
ACT-00068,O01422,C0834,ETA_VIEWED,2026-08-25T23:36:00,mobile_app
ACT-00069,O01422,C0834,SUPPORT_OPENED,2026-08-26T01:10:24,mobile_app
ACT-00070,O00385,C0667,ETA_VIEWED,2026-08-22T21:42:00,mobile_app
ACT-00071,O00385,C0667,ETA_VIEWED,2026-08-22T21:50:00,mobile_app
ACT-00072,O00385,C0667,ETA_VIEWED,2026-08-22T21:42:00,mobile_app
ACT-00073,O00385,C0667,CANCEL_ATTEMPTED,2026-08-22T22:45:31.151906,mobile_app
