interaction_id,order_id,interaction_type,interaction_at,channel,detail
CI-0004,O00037,SUPPORT_TICKET,2026-08-09T21:09:00,support,Late Delivery
CI-0005,O00040,SUPPORT_TICKET,2026-08-11T20:15:00,support,late_delivery 
CI-0006,O00041,SUPPORT_TICKET,2026-08-01T12:24:00,support,ETA issue
CI-0007,O00042,SUPPORT_TICKET,2026-08-09T19:19:00,support,restaurant_delay
CI-0008,O00049,SUPPORT_TICKET,2026-08-09T11:42:00,support,late_delivery
CI-0009,O00058,SUPPORT_TICKET,2026-08-05T20:40:00,support,ready_but_waiting
CI-0010,O00073,SUPPORT_TICKET,2026-08-27T14:06:00,support,ready_but_waiting
CI-0011,O00079,SUPPORT_TICKET,2026-08-09T21:10:00,support,eta_changed
CI-0012,O00083,SUPPORT_TICKET,2026-08-16T00:39:00,support,restaurant_delay
CI-0013,O00090,SUPPORT_TICKET,2026-08-20T18:14:00,support,late_delivery
CI-0014,O00094,SUPPORT_TICKET,2026-08-19T17:47:00,support,late_delivery
CI-0015,O00116,SUPPORT_TICKET,2026-08-27T00:09:00,support,late_delivery
CI-0016,O00118,SUPPORT_TICKET,2026-08-27T22:35:00,support,status_mismatch
CI-0017,O00121,SUPPORT_TICKET,2026-08-14T20:12:00,support,late_delivery
CI-0018,O00131,SUPPORT_TICKET,2026-08-28T20:26:00,support,status_mismatch
CI-0019,O00147,SUPPORT_TICKET,2026-08-25T15:30:00,support,ready_but_waiting
CI-0020,O00162,SUPPORT_TICKET,2026-08-26T18:23:00,support,restaurant_delay
CI-0021,O00169,SUPPORT_TICKET,2026-08-22T16:23:00,support,late_delivery
CI-0022,O00174,SUPPORT_TICKET,2026-08-21T19:21:00,support,status_mismatch
CI-0023,O00180,SUPPORT_TICKET,2026-08-08T18:43:00,support,ready_but_waiting
CI-0024,O00188,SUPPORT_TICKET,2026-08-09T20:12:00,support,ready_but_waiting
CI-0025,O00194,SUPPORT_TICKET,2026-08-11T18:22:00,support,ready_but_waiting
CI-0026,O00198,SUPPORT_TICKET,2026-08-19T19:01:00,support,eta_changed
CI-0027,O00205,SUPPORT_TICKET,2026-08-27T21:17:00,support,driver_not_moving
CI-0028,O00210,SUPPORT_TICKET,2026-08-14T13:06:00,support,restaurant_delay
CI-0029,O00211,SUPPORT_TICKET,2026-08-22T20:24:00,support,restaurant_delay
CI-0030,O00218,SUPPORT_TICKET,2026-08-07T00:38:00,support,status_mismatch
CI-0031,O00231,SUPPORT_TICKET,2026-08-27T16:24:00,support,restaurant_delay
CI-0032,O00240,SUPPORT_TICKET,2026-08-25T12:49:00,support,ready_but_waiting
CI-0033,O00244,SUPPORT_TICKET,2026-08-23T22:55:00,support,ready_but_waiting
CI-0034,O00251,SUPPORT_TICKET,2026-08-28T15:45:00,support,restaurant_delay
CI-0035,O00256,SUPPORT_TICKET,2026-08-06T13:19:00,support,late_delivery
CI-0036,O00266,SUPPORT_TICKET,2026-08-10T21:11:00,support,eta_changed
CI-0037,O00280,SUPPORT_TICKET,2026-08-09T18:19:00,support,driver_not_moving
CI-0038,O00288,SUPPORT_TICKET,2026-08-09T20:16:00,support,ready_but_waiting
CI-0039,O00295,SUPPORT_TICKET,2026-08-08T12:42:00,support,late_delivery
CI-0040,O00301,SUPPORT_TICKET,2026-08-20T20:35:00,support,status_mismatch
CI-0041,O00302,SUPPORT_TICKET,2026-08-20T20:20:00,support,restaurant_delay
CI-0042,O00303,SUPPORT_TICKET,2026-08-19T20:35:00,support,status_mismatch
CI-0043,O00320,SUPPORT_TICKET,2026-08-13T12:47:00,support,eta_changed
CI-0044,O00331,SUPPORT_TICKET,2026-08-15T18:14:00,support,ready_but_waiting
CI-0045,O00333,SUPPORT_TICKET,2026-08-24T17:07:00,support,eta_changed
CI-0046,O00348,SUPPORT_TICKET,2026-08-07T17:48:00,support,restaurant_delay
CI-0047,O00359,SUPPORT_TICKET,2026-08-08T19:05:00,support,restaurant_delay
CI-0048,O00385,SUPPORT_TICKET,2026-08-22T22:13:00,support,status_mismatch
CI-0049,O00391,SUPPORT_TICKET,2026-08-16T20:37:00,support,late_delivery
CI-0050,O00393,SUPPORT_TICKET,2026-08-08T00:12:00,support,driver_not_moving
CI-0051,O00424,SUPPORT_TICKET,2026-08-28T14:45:00,support,ready_but_waiting
CI-0052,O00428,SUPPORT_TICKET,2026-08-05T18:53:00,support,restaurant_delay
CI-0053,O00430,SUPPORT_TICKET,2026-08-23T18:54:00,support,eta_changed
CI-0054,O00437,SUPPORT_TICKET,2026-08-07T00:02:00,support,late_delivery
CI-0055,O00442,SUPPORT_TICKET,2026-08-16T15:43:00,support,status_mismatch
CI-0056,O00462,SUPPORT_TICKET,2026-08-19T18:45:00,support,eta_changed
CI-0057,O00471,SUPPORT_TICKET,2026-08-07T17:14:00,support,eta_changed
CI-0058,O00472,SUPPORT_TICKET,2026-08-08T19:45:00,support,eta_changed
CI-0059,O00491,SUPPORT_TICKET,2026-08-13T17:55:00,support,status_mismatch
CI-0060,O00497,SUPPORT_TICKET,2026-08-13T20:07:00,support,restaurant_delay
CI-0061,O00508,SUPPORT_TICKET,2026-08-10T22:01:00,support,status_mismatch
CI-0062,O00513,SUPPORT_TICKET,2026-08-06T12:19:00,support,late_delivery
CI-0063,O00525,SUPPORT_TICKET,2026-08-10T23:04:00,support,ready_but_waiting
CI-0064,O00533,SUPPORT_TICKET,2026-08-14T16:34:00,support,restaurant_delay
CI-0065,O00539,SUPPORT_TICKET,2026-08-06T15:05:00,support,restaurant_delay
CI-0066,O00544,SUPPORT_TICKET,2026-08-13T17:31:00,support,late_delivery
CI-0067,O00554,SUPPORT_TICKET,2026-08-06T18:27:00,support,restaurant_delay
CI-0068,O00555,SUPPORT_TICKET,2026-08-24T15:31:00,support,late_delivery
CI-0069,O00556,SUPPORT_TICKET,2026-08-04T12:54:00,support,late_delivery
CI-0070,O00561,SUPPORT_TICKET,2026-08-18T22:40:00,support,restaurant_delay
