event_id,order_id,event_type,event_time,actor_type,actor_id,source_system
EV-000001,O00001,ORDER_CREATED,2026-08-13T12:56:00,customer,C0168,order_platform
EV-000002,O00001,PICKED_UP,2026-08-13T13:35:49.825561,driver,D103,order_platform
EV-000003,O00001,DELIVERED,2026-08-13T14:22:25.035899,driver,D103,order_platform
EV-000004,O00002,ORDER_CREATED,2026-08-01T18:36:00,customer,C0043,order_platform
EV-000005,O00002,PICKED_UP,2026-08-01T18:58:24.735336,driver,D083,order_platform
EV-000006,O00002,DELIVERED,2026-08-01T19:47:14.818533,driver,D083,order_platform
EV-000007,O00003,ORDER_CREATED,2026-08-01T19:35:00,customer,C0855,order_platform
EV-000008,O00003,PICKED_UP,2026-08-01T19:57:50.820366,driver,D039,order_platform
EV-000009,O00003,DELIVERED,2026-08-01T20:13:28.061191,driver,D039,order_platform
EV-000010,O00004,ORDER_CREATED,2026-08-09T18:16:00,customer,C0229,order_platform
EV-000011,O00004,PICKED_UP,2026-08-09T18:46:48.725485,driver,D038,order_platform
EV-000012,O00005,ORDER_CREATED,2026-08-06T20:35:00,customer,C0040,order_platform
EV-000013,O00005,PICKED_UP,2026-08-06T21:18:38.024280,driver,D047,order_platform
EV-000014,O00005,DELIVERED,2026-08-06T22:15:49.290713,driver,D047,order_platform
EV-000015,O00006,ORDER_CREATED,2026-08-26T23:02:00,customer,C0152,order_platform
EV-000016,O00006,PICKED_UP,2026-08-26T23:31:33.631520,driver,D120,order_platform
EV-000017,O00006,DELIVERED,2026-08-27T00:05:36.182189,driver,D120,order_platform
EV-000018,O00007,ORDER_CREATED,2026-08-14T11:47:00,customer,C0875,order_platform
EV-000019,O00007,PICKED_UP,2026-08-14T12:06:06.040105,driver,D094,order_platform
EV-000020,O00007,DELIVERED,2026-08-14T13:19:10.066680,driver,D094,order_platform
EV-000021,O00008,ORDER_CREATED,2026-08-27T22:22:00,customer,C0223,order_platform
EV-000022,O00008,PICKED_UP,2026-08-27T23:11:00.536098,driver,D031,order_platform
EV-000023,O00008,DELIVERED,2026-08-28T00:06:57.494136,driver,D031,order_platform
EV-000024,O00009,ORDER_CREATED,2026-08-09T13:16:00,customer,C0685,order_platform
EV-000025,O00009,PICKED_UP,2026-08-09T13:48:11.662156,driver,D078,order_platform
EV-000026,O00009,DELIVERED,2026-08-09T14:22:13.491008,driver,D078,order_platform
EV-000027,O00010,ORDER_CREATED,2026-08-22T13:27:00,customer,C0530,order_platform
EV-000028,O00010,PICKED_UP,2026-08-22T13:51:04.636196,driver,D082,order_platform
EV-000029,O00010,DELIVERED,2026-08-22T14:22:26.150344,driver,D082,order_platform
EV-000030,O00011,ORDER_CREATED,2026-08-13T19:57:00,customer,C0709,order_platform
EV-000031,O00011,PICKED_UP,2026-08-13T20:25:14.921540,driver,D007,order_platform
EV-000032,O00011,DELIVERED,2026-08-13T20:51:14.432682,driver,D007,order_platform
EV-000033,O00012,ORDER_CREATED,2026-08-22T12:32:00,customer,C0366,order_platform
EV-000034,O00012,PICKED_UP,2026-08-22T13:23:21.406966,driver,D094,order_platform
EV-000035,O00012,DELIVERED,2026-08-22T13:55:10.513418,driver,D094,order_platform
EV-000036,O00013,ORDER_CREATED,2026-08-23T19:31:00,customer,C0317,order_platform
EV-000037,O00013,PICKED_UP,2026-08-23T19:56:41.741882,driver,D098,order_platform
EV-000038,O00013,DELIVERED,2026-08-23T20:34:57.522531,driver,D098,order_platform
EV-000039,O00014,ORDER_CREATED,2026-08-22T18:35:00,customer,C0542,order_platform
EV-000040,O00014,PICKED_UP,2026-08-22T18:59:38.422208,driver,D005,order_platform
EV-000041,O00014,DELIVERED,2026-08-22T20:01:42.256596,driver,D005,order_platform
EV-000042,O00015,ORDER_CREATED,2026-08-16T19:17:00,customer,C0578,order_platform
EV-000043,O00015,PICKED_UP,2026-08-16T19:44:32.256723,driver,D014,order_platform
EV-000044,O00015,DELIVERED,2026-08-16T20:36:53.095103,driver,D014,order_platform
EV-000045,O00016,ORDER_CREATED,2026-08-14T12:53:00,customer,C0326,order_platform
EV-000046,O00016,PICKED_UP,2026-08-14T13:21:47.806363,driver,D102,order_platform
EV-000047,O00016,DELIVERED,2026-08-14T14:13:35.547689,driver,D102,order_platform
EV-000048,O00017,ORDER_CREATED,2026-08-24T20:51:00,customer,C0270,order_platform
EV-000049,O00017,PICKED_UP,2026-08-24T21:13:50.967069,driver,D028,order_platform
EV-000050,O00018,ORDER_CREATED,2026-08-24T13:29:00,customer,C0886,order_platform
EV-000051,O00018,PICKED_UP,2026-08-24T13:49:52.409699,driver,D095,order_platform
EV-000052,O00018,DELIVERED,2026-08-24T15:09:50.026151,driver,D095,order_platform
EV-000053,O00019,ORDER_CREATED,2026-08-13T15:53:00,customer,C0357,order_platform
