intervention_id,order_id,intervention_type,intervention_at,initiated_by,reason
INT-00001,O00781,PRIORITY_DISPATCH,2026-08-22T12:57:00,operations,late_risk
INT-00002,O01476,CUSTOMER_CREDIT,2026-08-01T23:46:36.200640,support,support_resolution
INT-00003,O00496,DRIVER_REASSIGNMENT,2026-08-04T15:09:00,dispatch,slow_progress
INT-00004,O00681,RESTAURANT_CONTACT,2026-08-21T13:24:00,support,status_stale
INT-00005,O01188,PRIORITY_DISPATCH,2026-08-08T14:39:00,operations,late_risk
INT-00006,O00417,RESTAURANT_CONTACT,2026-08-16T11:41:00,support,prep_delay
INT-00007,O01407,CUSTOMER_CREDIT,2026-08-02T13:26:18,support,service_recovery
INT-00008,O00782,DRIVER_REASSIGNMENT,2026-08-25T19:02:00,dispatch,driver_unavailable
INT-00009,O00973,DRIVER_REASSIGNMENT,2026-08-04T19:49:00,dispatch,slow_progress
INT-00010,O00996,RESTAURANT_CONTACT,2026-08-26T21:08:00,support,prep_delay
INT-00011,O00514,DRIVER_REASSIGNMENT,2026-08-10T11:45:00,dispatch,driver_unavailable
INT-00012,O00432,PRIORITY_DISPATCH,2026-08-15T14:01:00,operations,vip_customer
INT-00013,O00644,CUSTOMER_CREDIT,2026-08-25T00:08:24,support,support_resolution
INT-00014,O01386,DRIVER_REASSIGNMENT,2026-08-11T17:04:00,dispatch,driver_unavailable
INT-00015,O00526,PRIORITY_DISPATCH,2026-08-16T15:02:00,operations,manual_ops_review
INT-00016,O01055,RESTAURANT_CONTACT,2026-08-28T12:27:00,support,status_stale
INT-00017,O01528,PRIORITY_DISPATCH,2026-08-08T17:46:00,operations,manual_ops_review
INT-00018,O00489,DRIVER_REASSIGNMENT,2026-08-19T13:13:00,dispatch,slow_progress
INT-00019,O01559,RESTAURANT_CONTACT,2026-08-04T19:52:00,support,status_stale
INT-00020,O01362,DRIVER_REASSIGNMENT,2026-08-10T20:34:00,dispatch,driver_unavailable
INT-00021,O00135,PRIORITY_DISPATCH,2026-08-26T17:31:00,operations,manual_ops_review
INT-00022,O01372,PRIORITY_DISPATCH,2026-08-16T17:17:00,operations,late_risk
INT-00023,O00058,CUSTOMER_CREDIT,2026-08-05T21:23:02.914275,support,support_resolution
INT-00024,O00539,DRIVER_REASSIGNMENT,2026-08-06T14:42:00,dispatch,driver_unavailable
INT-00025,O00993,RESTAURANT_CONTACT,2026-08-04T13:24:00,support,customer_escalation
INT-00026,O00114,CUSTOMER_CREDIT,2026-08-03T20:21:48,support,support_resolution
INT-00027,O00191,RESTAURANT_CONTACT,2026-08-09T22:54:00,support,customer_escalation
INT-00028,O01322,DRIVER_REASSIGNMENT,2026-08-22T20:50:00,dispatch,capacity_rebalance
INT-00029,O00990,DRIVER_REASSIGNMENT,2026-08-19T22:02:00,dispatch,slow_progress
INT-00030,O00074,DRIVER_REASSIGNMENT,2026-08-20T18:22:00,dispatch,slow_progress
INT-00031,O01018,RESTAURANT_CONTACT,2026-08-22T19:28:00,support,prep_delay
INT-00032,O00209,PRIORITY_DISPATCH,2026-08-15T12:58:00,operations,vip_customer
INT-00033,O01148,RESTAURANT_CONTACT,2026-08-04T18:38:00,support,customer_escalation
INT-00034,O01225,DRIVER_REASSIGNMENT,2026-08-24T19:13:00,dispatch,driver_unavailable
INT-00035,O00981,DRIVER_REASSIGNMENT,2026-08-22T18:59:00,dispatch,driver_unavailable
INT-00036,O00791,DRIVER_REASSIGNMENT,2026-08-22T19:10:00,dispatch,driver_unavailable
INT-00037,O00875,RESTAURANT_CONTACT,2026-08-10T23:45:00,support,prep_delay
INT-00038,O00436,CUSTOMER_CREDIT,2026-08-26T21:25:14.832222,support,late_delivery
INT-00039,O01259,DRIVER_REASSIGNMENT,2026-08-17T17:28:00,dispatch,slow_progress
INT-00040,O00464,DRIVER_REASSIGNMENT,2026-08-12T22:34:00,dispatch,driver_unavailable
INT-00041,O00267,DRIVER_REASSIGNMENT,2026-08-08T17:48:00,dispatch,capacity_rebalance
INT-00042,O00872,RESTAURANT_CONTACT,2026-08-18T18:40:00,support,status_stale
INT-00043,O01251,DRIVER_REASSIGNMENT,2026-08-14T22:08:00,dispatch,slow_progress
INT-00044,O00302,PRIORITY_DISPATCH,2026-08-20T20:11:00,operations,late_risk
INT-00045,O00909,RESTAURANT_CONTACT,2026-08-19T17:50:00,support,status_stale
INT-00046,O00218,RESTAURANT_CONTACT,2026-08-07T00:07:00,support,prep_delay
INT-00047,O01545,DRIVER_REASSIGNMENT,2026-08-25T17:29:00,dispatch,slow_progress
INT-00048,O01003,DRIVER_REASSIGNMENT,2026-08-15T12:56:00,dispatch,capacity_rebalance
INT-00049,O00900,PRIORITY_DISPATCH,2026-08-24T11:32:00,operations,vip_customer
