order_id,final_status_norm,delivered_flag,late_flag,delay_min,outcome_bucket
O00001,delivered,1,1.0,10.82,delivered_late
O00002,delivered,1,1.0,3.97,delivered_late
O00003,delivered,1,0.0,-4.41,delivered_on_time
O00004,cancelled,0,,,cancelled
O00005,delivered,1,1.0,21.02,delivered_late
O00006,delivered,1,1.0,7.3,delivered_late
O00007,delivered,1,1.0,4.27,delivered_late
O00008,delivered,1,1.0,26.86,delivered_late
O00009,delivered,1,1.0,0.69,delivered_late
O00010,delivered,1,0.0,-5.79,delivered_on_time
O00011,delivered,1,1.0,3.91,delivered_late
O00012,delivered,1,1.0,30.13,delivered_late
O00013,delivered,1,0.0,-3.4,delivered_on_time
O00014,delivered,1,1.0,5.1,delivered_late
O00015,delivered,1,1.0,4.28,delivered_late
O00016,delivered,1,1.0,2.49,delivered_late
O00017,cancelled,0,,,cancelled
O00018,delivered,1,1.0,9.43,delivered_late
O00019,delivered,1,1.0,4.0,delivered_late
O00020,delivered,1,1.0,7.9,delivered_late
O00021,delivered,1,0.0,-8.03,delivered_on_time
O00022,delivered,1,0.0,-3.1,delivered_on_time
O00023,delivered,1,0.0,-5.09,delivered_on_time
O00024,delivered,1,1.0,3.99,delivered_late
O00025,delivered,1,0.0,-9.5,delivered_on_time
O00026,delivered,1,0.0,-15.51,delivered_on_time
O00027,delivered,1,1.0,20.81,delivered_late
O00028,delivered,1,0.0,-13.77,delivered_on_time
O00029,delivered,1,1.0,2.41,delivered_late
O00030,delivered,1,0.0,-2.57,delivered_on_time
O00031,delivered,1,1.0,1.7,delivered_late
O00032,delivered,1,0.0,-1.25,delivered_on_time
O00033,delivered,1,1.0,14.32,delivered_late
O00034,delivered,1,0.0,-0.4,delivered_on_time
O00035,delivered,1,1.0,1.52,delivered_late
O00036,delivered,1,0.0,-2.83,delivered_on_time
O00037,delivered,1,1.0,15.45,delivered_late
O00038,delivered,1,0.0,-3.21,delivered_on_time
O00039,delivered,1,1.0,5.65,delivered_late
O00040,delivered,1,1.0,25.55,delivered_late
O00041,delivered,1,1.0,5.4,delivered_late
O00042,delivered,1,1.0,5.67,delivered_late
O00043,delivered,1,,,unknown
O00044,delivered,1,1.0,6.84,delivered_late
O00045,delivered,1,1.0,4.73,delivered_late
O00046,delivered,1,0.0,-14.09,delivered_on_time
O00047,delivered,1,1.0,28.11,delivered_late
O00048,delivered,1,1.0,18.45,delivered_late
O00049,delivered,1,1.0,1.75,delivered_late
O00050,delivered,1,1.0,2.33,delivered_late
O00051,delivered,1,0.0,-8.66,delivered_on_time
O00052,delivered,1,0.0,-15.52,delivered_on_time
O00053,delivered,1,1.0,22.05,delivered_late
O00054,delivered,1,1.0,4.38,delivered_late
O00055,delivered,1,0.0,-2.71,delivered_on_time
O00056,delivered,1,0.0,-2.87,delivered_on_time
O00057,delivered,1,0.0,-2.43,delivered_on_time
O00058,delivered,1,1.0,2.7,delivered_late
O00059,delivered,1,0.0,-11.45,delivered_on_time
O00060,delivered,1,1.0,12.16,delivered_late
O00061,delivered,1,0.0,-11.99,delivered_on_time
O00062,delivered,1,0.0,-0.89,delivered_on_time
O00063,delivered,1,0.0,-8.41,delivered_on_time
O00064,delivered,1,1.0,35.63,delivered_late
O00065,delivered,1,1.0,8.49,delivered_late
