order_id,restaurant_id,status,last_updated_at
O00676,R040,READY,2026-08-17T13:29:00
O01506,R055,Ready,2026-08-27T16:37:00
O01484,R032,ready ,2026-08-08T19:44:00
O00675,R012,handoff,2026-08-22T21:42:00
O00078,R027,unknown,2026-08-25T19:35:00
O01016,R035,handed_off,2026-08-17T08:01:00
O01395,R043,ready,2026-08-21T09:45:00
O00925,R057,preparing,2026-08-10T11:20:00
O00788,R004,ready,2026-08-03T06:10:00
O01168,R023,ready,2026-08-16T07:49:00
O01238,R030,ready,2026-08-26T19:06:00
O01067,R031,ready,2026-08-19T18:50:00
O00513,R024,preparing,2026-08-06T11:41:00
O00136,R058,ready,2026-08-19T13:09:00
O00640,R058,handed_off,2026-08-26T20:40:00
O00955,R037,ready,2026-08-09T21:49:00
O01534,R019,ready,2026-08-13T18:58:00
O01180,R004,handed_off,2026-08-28T20:31:00
O01065,R022,handed_off,2026-08-03T11:46:00
O01064,R052,handed_off,2026-08-09T16:01:00
O01149,R020,handed_off,2026-08-22T21:00:00
O01591,R023,ready,2026-08-12T13:04:00
O00266,R058,ready,2026-08-10T20:52:00
O01085,R026,preparing,2026-08-12T16:54:00
O00510,R029,preparing,2026-08-26T19:38:00
O00296,R040,handed_off,2026-08-13T20:50:00
O00314,R059,ready,2026-08-04T12:09:00
O00438,R022,preparing,2026-08-11T17:10:00
O00457,R037,preparing,2026-08-01T18:43:00
O00486,R043,ready,2026-08-06T20:45:00
O01406,R021,ready,2026-08-07T12:42:00
O01322,R040,preparing,2026-08-22T20:56:00
O00490,R016,ready,2026-08-08T15:37:00
O00448,R026,preparing,2026-08-11T17:51:00
O01243,R024,ready,2026-08-08T18:21:00
O00430,R030,handed_off,2026-08-23T18:42:00
O01264,R041,ready,2026-08-04T21:17:00
O01182,R005,preparing,2026-08-11T18:40:00
O00990,R011,preparing,2026-08-19T22:07:00
O00746,R025,preparing,2026-08-22T17:18:00
O01158,R023,handed_off,2026-08-15T19:38:00
O00249,R059,preparing,2026-08-15T22:29:00
O00082,R060,preparing,2026-08-17T17:54:00
O00229,R014,preparing,2026-08-05T19:38:00
O00819,R054,handed_off,2026-08-12T19:10:00
O00515,R025,ready,2026-08-02T13:50:00
O00123,R017,preparing,2026-08-03T18:28:00
O00167,R011,ready,2026-08-20T19:39:00
O00310,R006,preparing,2026-08-28T20:29:00
O00003,R010,preparing,2026-08-01T19:48:00
O01429,R034,ready,2026-08-15T23:15:00
O00332,R055,preparing,2026-08-22T21:21:00
O00861,R022,ready,2026-08-03T23:23:00
O00161,R031,handed_off,2026-08-28T19:02:00
O00423,R054,ready,2026-08-20T20:19:00
O00915,R049,preparing,2026-08-04T20:20:00
O00880,R060,preparing,2026-08-09T18:18:00
O01438,R020,handed_off,2026-08-07T16:47:00
O00333,R033,ready,2026-08-24T16:38:00
O01266,R002,handed_off,2026-08-26T18:34:00
O00248,R058,ready,2026-08-06T17:33:00
O00777,R030,ready,2026-08-04T13:13:00
O01417,R050,preparing,2026-08-12T13:36:00
O00318,R046,handed_off,2026-08-17T13:00:00
O00532,R043,ready,2026-08-14T11:41:00
O00761,R029,handed_off,2026-08-23T19:40:00
O00958,R015,preparing,2026-08-28T22:43:00
O00841,R031,preparing,2026-08-19T18:35:00
O01332,R002,preparing,2026-08-01T20:04:00
O00545,R014,preparing,2026-08-24T21:27:00
O00541,R057,preparing,2026-08-09T13:15:00
O00256,R008,handed_off,2026-08-06T13:19:00
O01124,R008,handed_off,2026-08-19T13:16:00
O00553,R025,preparing,2026-08-14T13:28:00
O00040,R012,handed_off,2026-08-11T20:13:00
O01583,R026,ready,2026-08-08T19:02:00
O00785,R015,handed_off,2026-08-13T13:50:00
O00895,R043,handed_off,2026-08-03T14:25:00
O01545,R004,handed_off,2026-08-25T17:35:00
O00108,R040,ready,2026-08-19T00:24:00
O01444,R055,ready,2026-08-06T13:21:00
O01135,R015,preparing,2026-08-23T17:38:00
O00539,R044,preparing,2026-08-06T15:09:00
O01114,R014,handed_off,2026-08-28T15:57:00
O01198,R042,ready,2026-08-25T18:27:00
O01474,R058,ready,2026-08-24T18:52:00
O01306,R049,preparing,2026-08-22T21:13:00
O00604,R011,handed_off,2026-08-05T17:38:00
O00611,R054,handed_off,2026-08-06T21:21:00
O01350,R060,preparing,2026-08-05T21:31:00
O01279,R029,preparing,2026-08-05T23:24:00
O00852,R043,handed_off,2026-08-08T14:22:00
O00950,R004,handed_off,2026-08-09T12:02:00
O00918,R046,ready,2026-08-23T12:23:00
O01011,R004,handed_off,2026-08-01T14:20:00
O01458,R045,ready,2026-08-05T21:14:00
O00847,R013,preparing,2026-08-17T19:48:00
O01285,R040,handed_off,2026-08-16T12:46:00
O00982,R027,ready,2026-08-17T21:20:00
O01521,R013,ready,2026-08-05T14:44:00
O00602,R047,ready,2026-08-13T19:43:00
O00667,R017,preparing,2026-08-27T22:40:00
O01531,R020,handed_off,2026-08-06T19:00:00
O01373,R037,preparing,2026-08-06T22:08:00
O01413,R032,handed_off,2026-08-23T20:11:00
O00338,R018,preparing,2026-08-04T19:32:00
O01197,R034,ready,2026-08-17T17:08:00
O01414,R052,handed_off,2026-08-05T14:04:00
O00642,R035,ready,2026-08-05T19:14:00
O01365,R018,preparing,2026-08-17T17:55:00
O00742,R024,preparing,2026-08-18T18:22:00
O01290,R047,ready,2026-08-01T22:31:00
O00511,R038,handed_off,2026-08-09T19:14:00
O00375,R044,ready,2026-08-07T23:26:00
O01596,R041,preparing,2026-08-12T13:34:00
O01208,R019,ready,2026-08-02T19:50:00
O00427,R015,handed_off,2026-08-17T19:18:00
O00864,R018,preparing,2026-08-15T13:36:00
O00575,R059,handed_off,2026-08-26T22:35:00
O00272,R038,ready,2026-08-15T11:49:00
O01246,R013,ready,2026-08-15T17:26:00
O00060,R038,ready,2026-08-10T23:16:00
O00391,R035,handed_off,2026-08-16T20:25:00
O00472,R056,handed_off,2026-08-08T19:09:00
O00346,R012,ready,2026-08-02T14:19:00
O00119,R041,ready,2026-08-24T15:35:00
O00237,R013,ready,2026-08-08T11:53:00
O00533,R040,preparing,2026-08-14T16:28:00
O00816,R053,handed_off,2026-08-22T17:54:00
O00304,R052,handed_off,2026-08-23T21:45:00
O01333,R029,ready,2026-08-03T18:20:00
O01446,R049,preparing,2026-08-01T21:02:00
O00769,R036,ready,2026-08-10T13:09:00
O01156,R048,handed_off,2026-08-22T22:32:00
O00573,R019,ready,2026-08-07T14:45:00
O01304,R014,ready,2026-08-17T20:30:00
O00455,R024,preparing,2026-08-07T19:36:00
O00395,R040,handed_off,2026-08-15T18:10:00
O00507,R050,ready,2026-08-17T20:44:00
O01019,R009,preparing,2026-08-18T16:44:00
O01122,R052,handed_off,2026-08-16T21:45:00
O00069,R025,preparing,2026-08-20T13:52:00
O00135,R019,handed_off,2026-08-26T17:28:00
O00006,R052,ready,2026-08-26T23:37:00
O01045,R024,handed_off,2026-08-28T21:01:00
O01108,R035,preparing,2026-08-03T16:36:00
O00230,R021,ready,2026-08-26T14:56:00
O00186,R029,handed_off,2026-08-07T21:46:00
O00234,R028,handed_off,2026-08-03T15:20:00
O01200,R049,ready,2026-08-13T22:44:00
O00099,R038,handed_off,2026-08-18T19:42:00
O00931,R030,preparing,2026-08-03T23:15:00
O00223,R048,preparing,2026-08-14T21:18:00
O01291,R026,preparing,2026-08-01T11:46:00
O00491,R045,preparing,2026-08-13T18:07:00
O00132,R003,preparing,2026-08-21T18:14:00
O01140,R035,handed_off,2026-08-19T23:19:00
O01356,R039,preparing,2026-08-05T17:19:00
O00443,R053,ready,2026-08-07T20:09:00
O00054,R002,preparing,2026-08-28T20:14:00
O00767,R005,preparing,2026-08-17T11:52:00
O00910,R057,handed_off,2026-08-27T18:32:00
O00583,R004,preparing,2026-08-19T18:19:00
O01128,R018,ready,2026-08-14T19:57:00
O00518,R041,ready,2026-08-13T23:25:00
O01153,R024,handed_off,2026-08-19T20:34:00
O00749,R056,handed_off,2026-08-04T19:48:00
O01195,R028,preparing,2026-08-07T14:59:00
O00434,R060,preparing,2026-08-10T21:45:00
O00774,R028,preparing,2026-08-07T12:16:00
O01520,R002,preparing,2026-08-11T14:30:00
O00677,R052,handed_off,2026-08-15T13:20:00
O01568,R053,handed_off,2026-08-28T23:27:00
O00327,R021,handed_off,2026-08-19T20:55:00
O00260,R028,preparing,2026-08-09T19:26:00
O00352,R013,ready,2026-08-16T19:36:00
O00479,R038,ready,2026-08-13T22:38:00
O00181,R006,handed_off,2026-08-14T13:07:00
O01408,R034,preparing,2026-08-10T22:45:00
O00835,R013,handed_off,2026-08-14T13:09:00
O00481,R014,handed_off,2026-08-23T18:30:00
O00282,R015,handed_off,2026-08-21T22:31:00
O01354,R042,ready,2026-08-25T13:35:00
O00721,R045,preparing,2026-08-23T14:53:00
O00258,R006,handed_off,2026-08-11T18:13:00
O01103,R014,preparing,2026-08-18T19:22:00
O00923,R038,preparing,2026-08-28T22:24:00
O01553,R037,handed_off,2026-08-27T21:56:00
O01031,R054,handed_off,2026-08-10T20:22:00
O00692,R050,ready,2026-08-22T17:53:00
O01187,R042,ready,2026-08-26T20:38:00
O01070,R020,handed_off,2026-08-13T12:55:00
O01082,R029,handed_off,2026-08-14T16:43:00
O00227,R014,ready,2026-08-04T11:51:00
O00973,R057,handed_off,2026-08-04T19:51:00
O00064,R002,preparing,2026-08-09T19:46:00
O00760,R029,preparing,2026-08-08T16:31:00
O00305,R030,preparing,2026-08-20T17:37:00
O00336,R015,handed_off,2026-08-03T13:08:00
O01305,R029,preparing,2026-08-21T22:00:00
O00405,R035,preparing,2026-08-20T21:04:00
O01183,R004,ready,2026-08-02T18:51:00
O00098,R054,preparing,2026-08-04T18:55:00
O00110,R040,handed_off,2026-08-12T13:29:00
O00056,R022,ready,2026-08-10T19:30:00
O01059,R042,ready,2026-08-03T19:31:00
O00590,R034,preparing,2026-08-03T16:09:00
O00615,R043,handed_off,2026-08-16T19:36:00
O00805,R057,handed_off,2026-08-04T12:32:00
O01281,R035,preparing,2026-08-21T12:24:00
O00508,R033,preparing,2026-08-10T21:31:00
O00120,R040,ready,2026-08-13T18:44:00
O01443,R052,preparing,2026-08-01T12:07:00
O00822,R010,handed_off,2026-08-04T16:34:00
O01459,R041,handed_off,2026-08-04T18:53:00
O00812,R023,ready,2026-08-05T16:22:00
O00459,R041,preparing,2026-08-15T16:06:00
O00971,R028,handed_off,2026-08-13T16:44:00
O01262,R032,handed_off,2026-08-09T20:27:00
O01021,R048,ready,2026-08-27T13:29:00
O00290,R048,ready,2026-08-21T16:50:00
O00446,R045,ready,2026-08-02T16:02:00
O00855,R016,preparing,2026-08-23T16:23:00
O00217,R039,preparing,2026-08-20T22:25:00
O01039,R009,handed_off,2026-08-13T20:41:00
O01478,R040,preparing,2026-08-12T12:08:00
O00324,R020,handed_off,2026-08-22T18:36:00
O00115,R017,preparing,2026-08-24T13:14:00
O00577,R007,preparing,2026-08-24T13:44:00
O00748,R017,preparing,2026-08-04T21:08:00
O00259,R032,handed_off,2026-08-06T13:10:00
O01176,R007,handed_off,2026-08-07T21:04:00
O01447,R057,ready,2026-08-28T13:27:00
O00007,R021,ready,2026-08-14T12:21:00
O01309,R026,preparing,2026-08-12T15:48:00
O01369,R020,ready,2026-08-24T15:19:00
O00809,R002,handed_off,2026-08-02T18:26:00
O01235,R032,ready,2026-08-28T13:38:00
O00074,R041,ready,2026-08-20T18:31:00
O01546,R034,handed_off,2026-08-13T21:06:00
O00419,R032,ready,2026-08-21T18:16:00
O01503,R045,preparing,2026-08-07T20:13:00
O01113,R018,preparing,2026-08-01T18:24:00
O00664,R025,preparing,2026-08-06T20:07:00
O01318,R021,handed_off,2026-08-11T14:06:00
O01518,R032,ready,2026-08-15T14:05:00
O01276,R033,ready,2026-08-01T18:13:00
O00302,R019,handed_off,2026-08-20T20:05:00
O00851,R015,preparing,2026-08-07T12:12:00
O00859,R017,handed_off,2026-08-09T20:36:00
O00772,R044,ready,2026-08-10T19:19:00
O00702,R045,handed_off,2026-08-10T12:21:00
O00576,R033,handed_off,2026-08-27T21:16:00
O00081,R037,handed_off,2026-08-19T11:17:00
O00754,R040,preparing,2026-08-21T15:57:00
O00668,R030,ready,2026-08-09T18:38:00
O00617,R010,preparing,2026-08-15T20:50:00
O01315,R001,preparing,2026-08-08T19:47:00
O01500,R016,ready,2026-08-08T16:22:00
O01597,R030,handed_off,2026-08-22T20:24:00
O01432,R013,handed_off,2026-08-23T19:47:00
O01510,R032,ready,2026-08-17T22:57:00
O00857,R053,ready,2026-08-23T18:36:00
O01522,R023,preparing,2026-08-16T14:43:00
O00627,R011,ready,2026-08-18T15:00:00
O00149,R055,handed_off,2026-08-22T18:29:00
O00985,R037,handed_off,2026-08-26T20:23:00
O00020,R037,handed_off,2026-08-07T22:09:00
O01343,R038,handed_off,2026-08-01T13:30:00
O00022,R047,handed_off,2026-08-26T12:08:00
O00912,R004,ready,2026-08-21T21:15:00
O00743,R018,preparing,2026-08-05T21:48:00
O00516,R011,ready,2026-08-14T22:30:00
O00722,R026,ready,2026-08-24T19:36:00
O00357,R043,handed_off,2026-08-23T13:15:00
O01525,R038,preparing,2026-08-17T13:24:00
O00771,R006,ready,2026-08-17T19:07:00
O00612,R012,preparing,2026-08-16T18:45:00
O01028,R004,preparing,2026-08-24T12:58:00
O00347,R002,handed_off,2026-08-16T18:32:00
O00882,R009,ready,2026-08-26T19:56:00
O00873,R060,ready,2026-08-05T17:36:00
O00980,R028,preparing,2026-08-27T19:59:00
O01555,R034,preparing,2026-08-06T19:33:00
O00543,R008,ready,2026-08-21T16:29:00
O01595,R011,handed_off,2026-08-24T22:46:00
O01584,R020,ready,2026-08-22T21:12:00
O01116,R052,handed_off,2026-08-11T14:46:00
O00904,R057,preparing,2026-08-08T23:44:00
O01415,R036,preparing,2026-08-08T15:02:00
O01134,R038,handed_off,2026-08-11T22:09:00
O01069,R034,preparing,2026-08-11T22:42:00
O00941,R060,preparing,2026-08-09T19:20:00
O00061,R036,handed_off,2026-08-03T21:51:00
O01397,R056,ready,2026-08-18T20:39:00
O00881,R009,handed_off,2026-08-14T13:19:00
O01371,R009,handed_off,2026-08-04T17:57:00
O01312,R027,ready,2026-08-14T19:21:00
O01582,R014,preparing,2026-08-21T20:31:00
O00542,R036,ready,2026-08-19T20:28:00
O00058,R030,handed_off,2026-08-05T20:12:00
O00517,R035,handed_off,2026-08-20T15:48:00
O00619,R017,ready,2026-08-24T19:51:00
O00133,R033,handed_off,2026-08-16T12:41:00
O00558,R054,ready,2026-08-24T18:39:00
O00630,R055,handed_off,2026-08-06T20:09:00
O00911,R053,handed_off,2026-08-01T19:43:00
O00765,R002,preparing,2026-08-04T16:19:00
O00197,R009,handed_off,2026-08-24T18:52:00
O01074,R018,ready,2026-08-07T20:03:00
O00381,R055,preparing,2026-08-18T18:02:00
O00673,R025,preparing,2026-08-27T12:05:00
