ticket_id,order_id,created_at,category,customer_message
T00001,,2026-08-26T23:34:00,late_delivery,My order is already past the promised time.
T00002,,2026-08-24T13:49:00,eta_changed,The ETA keeps changing and the food is still not here.
T00003,,2026-08-25T18:22:00,status_mismatch,The app says picking up but the restaurant says it is ready.
T00004,O00037,2026-08-09T21:09:00,Late Delivery,The rider has not moved for 15 minutes.
T00005,O00040,2026-08-11T20:15:00,late_delivery ,My order is already past the promised time.
T00006,O00041,2026-08-01T12:24:00,ETA issue,The rider has not moved for 15 minutes.
T00007,O00042,2026-08-09T19:19:00,restaurant_delay,Restaurant says they are still preparing my order.
T00008,O00049,2026-08-09T11:42:00,late_delivery,My order is already past the promised time.
T00009,O00058,2026-08-05T20:40:00,ready_but_waiting,Restaurant says food is ready but no rider has picked it up.
T00010,O00073,2026-08-27T14:06:00,ready_but_waiting,Restaurant says food is ready but no rider has picked it up.
T00011,O00079,2026-08-09T21:10:00,eta_changed,The ETA keeps changing and the food is still not here.
T00012,O00083,2026-08-16T00:39:00,restaurant_delay,Restaurant says they are still preparing my order.
T00013,O00090,2026-08-20T18:14:00,late_delivery,My order is already past the promised time.
T00014,O00094,2026-08-19T17:47:00,late_delivery,My order is already past the promised time.
T00015,O00116,2026-08-27T00:09:00,late_delivery,My order is already past the promised time.
T00016,O00118,2026-08-27T22:35:00,status_mismatch,The app says picking up but the restaurant says it is ready.
T00017,O00121,2026-08-14T20:12:00,late_delivery,My order is already past the promised time.
T00018,O00131,2026-08-28T20:26:00,status_mismatch,The app says picking up but the restaurant says it is ready.
T00019,O00147,2026-08-25T15:30:00,ready_but_waiting,Restaurant says food is ready but no rider has picked it up.
T00020,O00162,2026-08-26T18:23:00,restaurant_delay,Restaurant says they are still preparing my order.
T00021,O00169,2026-08-22T16:23:00,late_delivery,My order is already past the promised time.
T00022,O00174,2026-08-21T19:21:00,status_mismatch,The app says picking up but the restaurant says it is ready.
T00023,O00180,2026-08-08T18:43:00,ready_but_waiting,Restaurant says food is ready but no rider has picked it up.
