op_date,active_stations,stations_needing_rebalance,pct_needing_rebalance,required_moves
2026-06-01,876,7.0,0.8,51.0
2026-06-02,872,14.0,1.61,74.0
2026-06-03,886,14.0,1.58,138.0
2026-06-04,903,21.0,2.33,216.0
2026-06-05,897,13.0,1.45,83.0
2026-06-06,896,18.0,2.01,218.0
2026-06-07,869,14.0,1.61,177.0
2026-06-08,874,8.0,0.92,41.0
2026-06-09,875,17.0,1.94,81.0
2026-06-10,846,11.0,1.3,73.0
2026-06-11,856,10.0,1.17,82.0
2026-06-12,912,23.0,2.52,171.0
2026-06-13,911,18.0,1.98,328.0
2026-06-14,863,4.0,0.46,29.0
2026-06-15,895,12.0,1.34,133.0
2026-06-16,890,18.0,2.02,130.0
2026-06-17,816,9.0,1.1,70.0
2026-06-18,885,14.0,1.58,147.0
2026-06-19,899,17.0,1.89,166.0
2026-06-20,917,14.0,1.53,267.0
2026-06-21,757,1.0,0.13,3.0
2026-06-22,874,14.0,1.6,65.0
2026-06-23,880,14.0,1.59,84.0
2026-06-24,824,12.0,1.46,68.0
2026-06-25,893,15.0,1.68,96.0
2026-06-26,883,8.0,0.91,26.0
2026-06-27,873,9.0,1.03,161.0
2026-06-28,837,8.0,0.96,83.0
2026-06-29,894,9.0,1.01,83.0
2026-06-30,872,24.0,2.75,97.0
2026-07-01,875,17.0,1.94,85.0
2026-07-02,872,8.0,0.92,51.0
2026-07-03,832,8.0,0.96,92.0
2026-07-04,866,11.0,1.27,189.0
2026-07-05,848,8.0,0.94,30.0
2026-07-06,884,11.0,1.24,50.0
2026-07-07,895,14.0,1.56,65.0
2026-07-08,888,17.0,1.91,113.0
2026-07-09,884,15.0,1.7,154.0
2026-07-10,890,13.0,1.46,38.0
2026-07-11,902,18.0,2.0,371.0
2026-07-12,874,16.0,1.83,366.0
2026-07-13,884,14.0,1.58,46.0
2026-07-14,890,23.0,2.58,233.0
2026-07-15,877,18.0,2.05,78.0
2026-07-16,848,15.0,1.77,81.0
2026-07-17,865,12.0,1.39,77.0
2026-07-18,870,14.0,1.61,141.0
2026-07-19,873,6.0,0.69,44.0
2026-07-20,868,14.0,1.61,135.0
2026-07-21,902,23.0,2.55,187.0
2026-07-22,896,33.0,3.68,152.0
2026-07-23,896,24.0,2.68,145.0
2026-07-24,903,22.0,2.44,109.0
2026-07-25,895,14.0,1.56,274.0
2026-07-26,857,14.0,1.63,146.0
2026-07-27,845,3.0,0.36,8.0
2026-07-28,905,20.0,2.21,88.0
2026-07-29,918,16.0,1.74,118.0
2026-07-30,912,23.0,2.52,211.0
2026-07-31,885,21.0,2.37,135.0
2026-08-01,826,5.0,0.61,28.0
2026-08-02,903,14.0,1.55,100.0
2026-08-03,889,12.0,1.35,94.0
2026-08-04,908,27.0,2.97,147.0
2026-08-05,899,16.0,1.78,115.0
2026-08-06,872,19.0,2.18,113.0
2026-08-07,888,17.0,1.91,66.0
2026-08-08,916,17.0,1.86,349.0
2026-08-09,852,2.0,0.23,3.0
2026-08-10,909,10.0,1.1,37.0
2026-08-11,879,12.0,1.37,69.0
2026-08-12,899,24.0,2.67,90.0
2026-08-13,848,8.0,0.94,39.0
2026-08-14,918,17.0,1.85,76.0
2026-08-15,891,14.0,1.57,135.0
2026-08-16,893,13.0,1.46,182.0
2026-08-17,915,14.0,1.53,113.0
2026-08-18,899,20.0,2.22,128.0
2026-08-19,902,20.0,2.22,149.0
2026-08-20,894,23.0,2.57,112.0
2026-08-21,921,11.0,1.19,30.0
2026-08-22,949,16.0,1.69,144.0
2026-08-23,885,9.0,1.02,92.0
2026-08-24,891,17.0,1.91,84.0
2026-08-25,919,18.0,1.96,89.0
2026-08-26,928,18.0,1.94,92.0
2026-08-27,916,17.0,1.86,103.0
2026-08-28,930,16.0,1.72,103.0
2026-08-29,904,17.0,1.88,119.0
2026-08-30,843,2.0,0.24,6.0
