hour,station_group,avg_net_flow_per_station_hour
0,chronic_drain,-0.056
1,chronic_drain,0.4
2,chronic_drain,-0.355
3,chronic_drain,-0.421
4,chronic_drain,-0.889
5,chronic_drain,-1.0
6,chronic_drain,-1.306
7,chronic_drain,-1.409
8,chronic_drain,-1.586
9,chronic_drain,-0.389
10,chronic_drain,-0.15
11,chronic_drain,0.108
12,chronic_drain,0.213
13,chronic_drain,0.245
14,chronic_drain,0.223
15,chronic_drain,0.314
16,chronic_drain,0.852
17,chronic_drain,0.638
18,chronic_drain,-0.233
19,chronic_drain,0.472
20,chronic_drain,0.5
21,chronic_drain,0.991
22,chronic_drain,0.24
23,chronic_drain,0.382
0,chronic_fill,-0.526
1,chronic_fill,-0.111
2,chronic_fill,-0.235
3,chronic_fill,-0.222
4,chronic_fill,-0.87
5,chronic_fill,1.076
6,chronic_fill,3.314
7,chronic_fill,5.96
8,chronic_fill,4.789
9,chronic_fill,0.657
10,chronic_fill,0.191
11,chronic_fill,-0.383
12,chronic_fill,-0.033
13,chronic_fill,0.144
14,chronic_fill,-0.348
15,chronic_fill,-1.403
16,chronic_fill,-3.434
17,chronic_fill,0.66
18,chronic_fill,2.376
19,chronic_fill,-1.481
20,chronic_fill,-2.983
21,chronic_fill,-1.975
22,chronic_fill,-1.088
23,chronic_fill,-0.407
0,other,0.033
1,other,0.025
2,other,0.103
3,other,0.007
4,other,-0.071
5,other,-0.174
6,other,-0.165
7,other,-0.142
8,other,-0.081
9,other,0.055
10,other,-0.093
11,other,-0.13
12,other,-0.045
13,other,0.009
14,other,-0.023
15,other,-0.082
16,other,-0.164
17,other,-0.152
18,other,-0.101
19,other,0.142
20,other,0.24
21,other,0.197
22,other,0.172
23,other,0.134
