station_id,station_name,capacity,dominant_pressure,active_days,days_needing_rebalance,pct_days_needing_rebalance,required_moves,required_moves_per_day,avg_daily_net_flow,worst_weekday_hour,observed_empty_pct,observed_full_pct,lat,lon
CHI00525,DuSable Lake Shore Dr & North Blvd,39,fill,91,28.0,30.8,1137.0,12.5,10.4,17,0.0,0.0,41.911722,-87.626804
CHI00420,Theater on the Lake,31,fill,91,20.0,22.0,890.0,9.8,8.3,20,0.0,0.0,41.926277,-87.630834
CHI00674,Clark St & Newport St,16,fill,91,41.0,45.1,727.0,8.0,6.2,18,100.0,0.0,41.94454,-87.654678
CHI00449,Franklin St & Monroe St,48,fill,91,39.0,42.9,651.0,7.2,13.6,7,0.0,0.0,41.880317,-87.635185
CHI02102,Wells St & Madison St,19,fill,91,52.0,57.1,611.0,6.7,9.7,8,100.0,0.0,41.88199,-87.63418
CHI02366,North Ave Beach,42,fill,38,21.0,55.3,530.0,13.9,6.9,17,0.0,0.0,41.91399,-87.62527
CHI00533,Shedd Aquarium,27,fill,91,43.0,47.3,497.0,5.5,-2.8,23,,,41.86722595682,-87.6153553902
CHI00427,Montrose Harbor,31,fill,91,18.0,19.8,425.0,4.7,0.6,20,0.0,0.0,41.963982,-87.638181
CHI00310,Sheffield Ave & Waveland Ave,27,fill,91,35.0,38.5,421.0,4.6,0.5,21,0.0,0.0,41.949399,-87.654529
CHI00298,Lakefront Trail & Bryn Mawr Ave,19,fill,91,18.0,19.8,416.0,4.6,3.7,18,0.0,0.0,41.98404411519213,-87.65228122472763
CHI02055,Wilton Ave & Addison St,7,fill,91,65.0,71.4,328.0,3.6,0.3,18,100.0,0.0,41.947459,-87.653216
CHI01787,Wacker Dr & Washington St,19,fill,90,46.0,51.1,311.0,3.5,5.3,7,100.0,0.0,41.88314336439022,-87.63724207878113
CHI00333,Ashland Ave & Blackhawk St,7,drain,91,81.0,89.0,304.0,3.3,0.5,8,0.0,100.0,41.907066,-87.667252
CHI00453,Franklin St & Adams St ,15,fill,91,44.0,48.4,232.0,2.5,3.4,7,100.0,0.0,41.87943409140013,-87.63550400733948
CHI02054,Sheffield Ave & Addison St,44,fill,91,19.0,20.9,199.0,2.2,5.6,21,0.0,0.0,41.947017,-87.654418
CHI02122,Clark St & Eddy St ,15,fill,91,26.0,28.6,186.0,2.0,3.3,21,0.0,0.0,41.94628,-87.65627
CHI00503,Ashland Ave & Grace St,7,drain,91,57.0,62.6,157.0,1.7,-0.5,6,0.0,0.0,41.95068,-87.6687
CHI02100,The Salt Shed,23,fill,91,9.0,9.9,157.0,1.7,-0.6,21,0.0,0.0,41.90689,-87.65978
CHI00761,Clark St & Lake St,24,fill,91,24.0,26.4,129.0,1.4,2.7,8,0.0,0.0,41.88602082773,-87.6308760584
CHI00301,Clark St & Grace St,23,fill,91,21.0,23.1,128.0,1.4,2.2,22,0.0,0.0,41.95078,-87.659172
CHI02140,Wacker Dr & Randolph St,24,fill,91,29.0,31.9,125.0,1.4,4.1,8,100.0,0.0,41.88454,-87.63732
CHI00360,Adler Planetarium,39,fill,91,8.0,8.8,123.0,1.4,-4.0,22,0.0,0.0,41.866095,-87.607267
CHI00405,Dearborn St & Madison St,19,fill,91,25.0,27.5,96.0,1.1,4.6,7,100.0,0.0,41.88206,-87.62964
CHI02050,Franklin St & Jackson Blvd,39,fill,91,17.0,18.7,81.0,0.9,5.1,7,100.0,0.0,41.8777079559,-87.6353211408
CHI00296,Damen Ave & Thomas St (Augusta Blvd),15,drain,91,28.0,30.8,78.0,0.9,0.1,7,0.0,0.0,41.901315,-87.677409
CHI00236,Southport Ave & Wellington Ave,19,fill,91,6.0,6.6,75.0,0.8,1.8,6,0.0,0.0,41.93577461766458,-87.66360014677048
CHI01742,Millennium Park,47,fill,91,3.0,3.3,67.0,0.7,-2.0,20,0.0,0.0,41.8810317,-87.62408432
CHI00376,Franklin St & Lake St,40,fill,91,14.0,15.4,58.0,0.6,3.7,8,100.0,0.0,41.885837,-87.6355
CHI00374,DuSable Lake Shore Dr & Monroe St,39,fill,91,4.0,4.4,58.0,0.6,-5.4,17,0.0,0.0,41.880958,-87.616743
CHI02168,Wabash Ave & Jackson Blvd,15,fill,91,4.0,4.4,57.0,0.6,2.4,7,0.0,0.0,41.87801,-87.62599
CHI02176,Dearborn St & Washington St,18,fill,91,17.0,18.7,51.0,0.6,1.6,7,100.0,0.0,41.88299,-87.6293
